date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/14/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,813","$999,836.00",1.27%
03/11/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,813","$990,709.59",1.23%
03/14/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,794,306","$99,996,673.38",6.93%
03/11/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,859,542","$99,987,573.34",6.93%
03/14/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"14,505","$99,970.14",0.13%
03/11/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,060","$99,575.58",0.12%
03/11/2025,PRNT,SGL CARBON SE,SGL,4818351,"21,648","$98,842.35",0.12%
03/07/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,060","$98,768.99",0.12%
03/07/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,176,555","$97,596,726.20",5.95%
03/11/2025,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"9,211,879","$97,553,798.61",1.84%
03/07/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,813","$966,643.77",1.17%
03/07/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"929,494","$95,263,840.06",9.75%
03/07/2025,ARKQ,TESLA INC,TSLA,88160R101,"360,242","$94,905,754.90",11.00%
03/21/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"929,310","$94,650,223.50",10.21%
03/21/2025,PRNT,SGL CARBON SE,SGL,4818351,"21,648","$94,570.20",0.12%
03/07/2025,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,402,506","$94,130,185.08",8.24%
03/14/2025,PRNT,SGL CARBON SE,SGL,4818351,"21,648","$93,704.12",0.12%
03/21/2025,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,220,108","$93,355,541.40",8.96%
03/07/2025,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,152,235","$93,213,297.85",8.15%
03/07/2025,PRNT,ATI INC,ATI,01741R102,"1,608","$92,041.92",0.11%
03/21/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,102,199","$91,782,008.34",6.00%
03/21/2025,PRNT,3M CO,MMM,88579Y101,605,"$91,518.35",0.11%
03/11/2025,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,099,939","$91,011,356.26",8.62%
03/14/2025,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,305,228","$90,180,519.36",8.66%
03/07/2025,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,"14,304","$9,990,485.76",0.87%
